No,Name,Status,Lat,Lon,Stream URL
1,"วงเวียนกรมหลวงประจักษ์ศิลปาคม SPD",online,17.40033339,102.79507307,https://streaming.udoncity.go.th:1935/live/cctv_121.stream/chunklist_w2010918290.m3u8
2,"แยกสี่ศรัทธา ด้านถนนสี่ศรัทธา",online,17.40603491,102.79035978,https://streaming.udoncity.go.th:1935/live/Axis_IP754.stream/chunklist_w168520904.m3u8
3,"แยกอาชีวศึกษา ด้านถนนประชารักษา",online,17.410141,102.777509,https://streaming.udoncity.go.th:1935/live/Axis_7.21.stream/chunklist_w1836293394.m3u8
4,"แยกอาชีวศึกษา ด้านถนนเพาะนิยม",online,17.409703,102.778214,https://streaming.udoncity.go.th:1935/live/Axis_IP724.stream/chunklist_w741016741.m3u8
5,"แยกเรือนจำ ถนนหมากแข้ง",online,17.405132,102.786823,https://streaming.udoncity.go.th:1935/live/Axis_IP729.stream/chunklist_w1495648512.m3u8
6,"แยกจุดกลับรถหน้าตลาดเมืองทองขาออก",online,17.390528,102.819876,https://streaming.udoncity.go.th:1935/live/Axis_12_30.stream/chunklist_w467067745.m3u8
7,"แยกตลาดไทยอีสานแยกถนนสุระการ",online,17.403039,102.796105,https://streaming.udoncity.go.th:1935/live/Axis_12_21.stream/chunklist_w899598949.m3u8
8,"แยกปากซอยประชาสันติ",online,17.396411,102.808966,https://streaming.udoncity.go.th:1935/live/Axis_12_27.stream/chunklist_w955945115.m3u8
9,"แยกหน้าโรงเรียนอุดรคริสเตียน",online,17.423573,102.790767,https://streaming.udoncity.go.th:1935/live/Axis_12_53.stream/chunklist_w686882157.m3u8
10,"แยกหน้าโรงเรียนอุดรพิทยานุกูล ถนนโพศรี",online,17.4071708,102.78317166,https://streaming.udoncity.go.th:1935/live/Axis_IP727.stream/chunklist_w1204838826.m3u8
11,"แยกชลประทาน",online,17.41359314,102.7919125,https://streaming.udoncity.go.th:1935/live/Axis_12_45.stream/chunklist_w787893003.m3u8
12,"แยกธิเบต",online,17.409016,102.800144,https://streaming.udoncity.go.th:1935/live/Axis_12_43.stream/chunklist_w772505927.m3u8
13,"แยกหน้าสถานีรถไฟ",online,17.40431538,102.80404772,https://streaming.udoncity.go.th:1935/live/Axis_12_33.stream/chunklist_w34733218.m3u8
14,"แยกสถานีรถไฟ ถนนประจักษ์",online,17.40406428,102.80401582,https://streaming.udoncity.go.th:1935/live/Axis_12_34.stream/chunklist_w354640472.m3u8
15,"แยกเซ็นทรัล",online,17.40434572,102.79999231,https://streaming.udoncity.go.th:1935/live/Axis_12_38.stream/chunklist_w1610502304.m3u8
16,"แยก VTแหนมเนือง",online,17.41351762,102.77730793,https://streaming.udoncity.go.th:1935/live/Bosch_IP2.9.stream/chunklist_w1021328968.m3u8
17,"แยกต้อยลาบเป็ด",online,17.40363727,102.78402813,https://streaming.udoncity.go.th:1935/live/Bosch_IP2.17.stream/chunklist_w941487597.m3u8
18,"แยกหลังโรงเรียนบ้านหมากแข้ง",online,17.4006241,102.78921526,https://streaming.udoncity.go.th:1935/live/Bosch_IP2.20.stream/chunklist_w1256541189.m3u8
19,"ถนนเพาะนิยม (อนุบาลลูกรัก)",online,17.42245522,102.77767804,https://streaming.udoncity.go.th:1935/live/Bosch_IP2.2.stream/chunklist_w1940793781.m3u8
20,"แยกตะวันแดง",online,17.40770718,102.80287534,https://streaming.udoncity.go.th:1935/live/Bosch_IP2.27.stream/chunklist_w37477846.m3u8
