id,name,lat,lng,streamUrl
NSS01,หน้า ร.ร. ศาลามีชัย ตัวที่ 1,8.382456,99.97231,https://streaming.noc.nakhoncity.org/live/NSS01.m3u8
NSS02,หน้า ร.ร. ศาลามีชัย ตัวที่ 2,8.382577,99.972273,https://streaming.noc.nakhoncity.org/live/NSS02.m3u8
NSS03,หน้า ร.ร. เพชรจริก ตัวที่ 1,8.396518,99.969877,https://streaming.noc.nakhoncity.org/live/NSS03.m3u8
NSS04,หน้า ร.ร. เพชรจริก ตัวที่ 2,8.396908,99.969788,https://streaming.noc.nakhoncity.org/live/NSS04.m3u8
NSS05,หลังโรงเรียนเพรชจริก ตัวที่ 1,8.396518,99.969877,https://streaming.noc.nakhoncity.org/live/NSS05.m3u8
NSS06,หลังโรงเรียนเพรชจริก ตัวที่ 2,8.396908,99.969788,https://streaming.noc.nakhoncity.org/live/NSS06.m3u8
NSS07,หน้า ร.ร. วัดท้าวโคตร ตัวที่ 1,8.404556,99.96839,https://streaming.noc.nakhoncity.org/live/NSS07.m3u8
NSS08,หน้า ร.ร. วัดท้าวโคตร ตัวที่ 2,8.404422,99.968429,https://streaming.noc.nakhoncity.org/live/NSS08.m3u8
NSS09,หน้า ร.ร. เสมาเมือง ตัวที่ 1,8.425991,99.963829,https://streaming.noc.nakhoncity.org/live/NSS09.m3u8
NSS10,หน้า ร.ร. เสมาเมือง ตัวที่ 2,8.425991,99.963889,https://streaming.noc.nakhoncity.org/live/NSS10.m3u8
NSS11,หน้า ร.ร. มเหยงคณ์ ตัวที่ 1,8.433482,99.962681,https://streaming.noc.nakhoncity.org/live/NSS11.m3u8
NSS12,หน้า ร.ร. มเหยงคณ์ ตัวที่ 2,8.433185,99.962606,https://streaming.noc.nakhoncity.org/live/NSS12.m3u8
NSS13,หน้า ร.ร. อนุบาลจังหวัด ตัวที่ 1,8.430463,99.964054,https://streaming.noc.nakhoncity.org/live/NSS13.m3u8
NSS14,หน้า ร.ร. อนุบาลจังหวัด ตัวที่ 2,8.430421,99.963775,https://streaming.noc.nakhoncity.org/live/NSS14.m3u8
NSS15,สนามหน้าเมือง (หน้ากัลฯ) ตัวที่ 1,8.429168,99.963103,https://streaming.noc.nakhoncity.org/live/NSS15.m3u8
NSS16,สนามหน้าเมือง (หน้ากัลฯ) ตัวที่ 2,8.4292,99.962835,https://streaming.noc.nakhoncity.org/live/NSS16.m3u8
NSS17,หน้า ร.ร. เสาธงทอง ตัวที่ 1,8.438062,99.962161,https://streaming.noc.nakhoncity.org/live/NSS17.m3u8
